year,colour_summer,chla,chla_prevSummer,colour_prevSummer,rain,TP,TP_prevSummer,wind_speed
1981,L,L,L,L,L,L,H,L
1982,L,L,L,L,L,L,L,H
1983,L,L,L,L,L,H,L,H
1984,L,L,L,L,H,L,H,H
1985,L,L,L,L,H,H,L,H
1986,L,L,L,M,L,H,H,H
1987,L,L,L,L,H,L,H,L
1988,L,L,L,L,H,H,L,L
1989,L,L,L,L,L,L,H,H
1990,L,L,L,L,L,L,L,H
1991,L,L,L,L,L,L,L,H
1992,L,L,L,L,L,H,L,H
1993,L,L,L,L,L,L,H,L
1994,L,L,L,L,L,H,L,H
1995,L,H,H,L,L,L,H,H
1996,L,H,H,L,L,H,L,L
1997,L,H,H,L,L,L,H,L
1998,L,H,H,L,H,H,L,L
1999,L,H,H,M,H,H,H,L
2000,L,H,H,M,H,H,H,H
2001,H,H,H,M,H,H,H,H
2002,H,H,H,H,H,H,H,L
2003,L,L,H,M,L,H,H,L
2004,L,H,H,M,H,H,H,L
2005,L,H,H,M,L,H,H,L
2006,L,H,H,M,H,H,H,L
2007,H,L,H,M,H,H,H,L
2008,H,L,H,H,H,H,H,L
2009,H,L,L,H,L,L,H,L
2010,H,L,L,M,H,L,L,L
2011,H,L,L,H,H,L,L,L
2012,H,L,L,H,H,L,L,H
2013,H,L,L,H,H,L,L,H
2014,L,L,L,M,H,L,L,L
2015,H,L,L,M,H,L,L,H
2016,H,L,L,M,L,L,L,H
2017,L,L,L,M,H,L,L,H
2018,L,L,L,M,L,L,L,H
